ci95_high,ci95_low,mean,method,method_family,metric,n,ppl_model_family,prompt_sentiment_class,std
0.01464304095134139,0.01447969287619344,0.014557001161544273,v2_base,v2_autoregressive_sentiment_guide,latency_per_token,6,v2_gpt2_medium_conditional,all,0.00011607221752994751
0.4685773104429245,0.46335017203819007,0.4658240371694167,v2_base,v2_autoregressive_sentiment_guide,total_latency,6,v2_gpt2_medium_conditional,all,0.0037143109609583205
0.8333333333333334,0.16666666666666666,0.5,v2_fixed,v2_autoregressive_sentiment_guide,alignment_success,6,v2_gpt2_medium_conditional,all,0.5
0.8342630246964594,0.1693136451067403,0.502699120552279,v2_fixed,v2_autoregressive_sentiment_guide,target_probability,6,v2_gpt2_medium_conditional,all,0.49597255023937076
4.008676316253983,3.268908670151444,3.6236797398516463,v2_fixed,v2_autoregressive_sentiment_guide,perplexity,6,v2_gpt2_medium_conditional,all,0.44000508058198884
0.0327045162320807,-0.30471474456116554,-0.13074809945198831,v2_fixed,v2_autoregressive_sentiment_guide,ppl_degradation,6,v2_gpt2_medium_conditional,all,0.21305342791414159
0.6130952380952381,0.5416666666666666,0.5797619047619048,v2_fixed,v2_autoregressive_sentiment_guide,coherence,6,v2_gpt2_medium_conditional,all,0.04626548483398459
0.40895061728395055,0.1914141414141414,0.29480920314253645,v2_fixed,v2_autoregressive_sentiment_guide,repeated_unigram_rate,6,v2_gpt2_medium_conditional,all,0.14977238189781186
0.21396993810786916,0.06334927774208134,0.1380156991101519,v2_fixed,v2_autoregressive_sentiment_guide,repeated_bigram_rate,6,v2_gpt2_medium_conditional,all,0.1010953737079638
0.1545454545454545,0.02380952380952382,0.08744588744588744,v2_fixed,v2_autoregressive_sentiment_guide,repeated_trigram_rate,6,v2_gpt2_medium_conditional,all,0.08905552118180979
0.8085858585858586,0.5885241301907969,0.7051907968574636,v2_fixed,v2_autoregressive_sentiment_guide,distinct_1,6,v2_gpt2_medium_conditional,all,0.1497723818978119
0.9365317341329336,0.7805712528351209,0.8619843008898481,v2_fixed,v2_autoregressive_sentiment_guide,distinct_2,6,v2_gpt2_medium_conditional,all,0.1010953737079638
0.9761904761904762,0.8428571428571429,0.9125541125541125,v2_fixed,v2_autoregressive_sentiment_guide,distinct_3,6,v2_gpt2_medium_conditional,all,0.08905552118180979
32.0,32.0,32.0,v2_fixed,v2_autoregressive_sentiment_guide,generation_length,6,v2_gpt2_medium_conditional,all,0.0
0.04555981633166084,0.04537214598894934,0.04547727491808473,v2_fixed,v2_autoregressive_sentiment_guide,latency_per_token,6,v2_gpt2_medium_conditional,all,0.00011289520008786962
1.457914122613147,1.451908671646379,1.4552727973787114,v2_fixed,v2_autoregressive_sentiment_guide,total_latency,6,v2_gpt2_medium_conditional,all,0.003612646402811828
0.6666666666666666,0.0,0.3333333333333333,v2_heuristic,v2_autoregressive_sentiment_guide,alignment_success,6,v2_gpt2_medium_conditional,all,0.4714045207910317
0.6696574706584215,0.0035632302557739117,0.3358869051444344,v2_heuristic,v2_autoregressive_sentiment_guide,target_probability,6,v2_gpt2_medium_conditional,all,0.4682956309997194
4.529592180237727,3.392728659415015,4.005069367319001,v2_heuristic,v2_autoregressive_sentiment_guide,perplexity,6,v2_gpt2_medium_conditional,all,0.706422652582296
0.14255167421754386,-0.2076945207190777,-0.04381988123773086,v2_heuristic,v2_autoregressive_sentiment_guide,ppl_degradation,6,v2_gpt2_medium_conditional,all,0.23594352246472272
0.6244949494949495,0.565909090909091,0.594570707070707,v2_heuristic,v2_autoregressive_sentiment_guide,coherence,6,v2_gpt2_medium_conditional,all,0.03848608292248586
0.4138888888888889,0.20108225108225108,0.29657287157287154,v2_heuristic,v2_autoregressive_sentiment_guide,repeated_unigram_rate,6,v2_gpt2_medium_conditional,all,0.1376852749744469
0.1801876839358099,0.06424466338259442,0.122854743263289,v2_heuristic,v2_autoregressive_sentiment_guide,repeated_bigram_rate,6,v2_gpt2_medium_conditional,all,0.07557626176445241
0.11005661005661001,0.023809523809523798,0.0669330669330669,v2_heuristic,v2_autoregressive_sentiment_guide,repeated_trigram_rate,6,v2_gpt2_medium_conditional,all,0.060962939481346054
0.7955988455988456,0.5837301587301588,0.7034271284271284,v2_heuristic,v2_autoregressive_sentiment_guide,distinct_1,6,v2_gpt2_medium_conditional,all,0.1376852749744469
0.9334861339171683,0.8153666222444332,0.877145256736711,v2_heuristic,v2_autoregressive_sentiment_guide,distinct_2,6,v2_gpt2_medium_conditional,all,0.07557626176445241
0.9761904761904763,0.8890276390276391,0.9330669330669332,v2_heuristic,v2_autoregressive_sentiment_guide,distinct_3,6,v2_gpt2_medium_conditional,all,0.060962939481346054
32.0,32.0,32.0,v2_heuristic,v2_autoregressive_sentiment_guide,generation_length,6,v2_gpt2_medium_conditional,all,0.0
0.046640452193969395,0.04634228857321432,0.046469563230251275,v2_heuristic,v2_autoregressive_sentiment_guide,latency_per_token,6,v2_gpt2_medium_conditional,all,0.00020312448230258646
1.4924944702070206,1.4829532343428582,1.4870260233680408,v2_heuristic,v2_autoregressive_sentiment_guide,total_latency,6,v2_gpt2_medium_conditional,all,0.006499983433682767
0.8333333333333334,0.16666666666666666,0.5,v2_history,v2_autoregressive_sentiment_guide,alignment_success,6,v2_gpt2_medium_conditional,all,0.5
0.8327076085067043,0.167540139091822,0.5002256180547798,v2_history,v2_autoregressive_sentiment_guide,target_probability,6,v2_gpt2_medium_conditional,all,0.49848192142572373
7.086843032500382,4.205873142112764,5.477002603139781,v2_history,v2_autoregressive_sentiment_guide,perplexity,6,v2_gpt2_medium_conditional,all,1.716853030490179
0.9793852175738609,-0.12346377970304416,0.36566723961981396,v2_history,v2_autoregressive_sentiment_guide,ppl_degradation,6,v2_gpt2_medium_conditional,all,0.6655300194367095
0.5962121212121213,0.5289855072463768,0.5639877031181378,v2_history,v2_autoregressive_sentiment_guide,coherence,6,v2_gpt2_medium_conditional,all,0.046282731401496545
0.3549092457138434,0.17119768269193555,0.26305346420288944,v2_history,v2_autoregressive_sentiment_guide,repeated_unigram_rate,6,v2_gpt2_medium_conditional,all,0.12381820173061027
0.18406593406593408,0.013888888888888895,0.0931013431013431,v2_history,v2_autoregressive_sentiment_guide,repeated_bigram_rate,6,v2_gpt2_medium_conditional,all,0.11439761722492985
0.12962962962962965,0.0,0.05654320987654321,v2_history,v2_autoregressive_sentiment_guide,repeated_trigram_rate,6,v2_gpt2_medium_conditional,all,0.09524753366255995
0.8278526496917302,0.6409482386493881,0.7369465357971104,v2_history,v2_autoregressive_sentiment_guide,distinct_1,6,v2_gpt2_medium_conditional,all,0.12381820173061027
0.9861111111111112,0.8136446886446888,0.9068986568986569,v2_history,v2_autoregressive_sentiment_guide,distinct_2,6,v2_gpt2_medium_conditional,all,0.11439761722492985
1.0,0.8570370370370369,0.9434567901234567,v2_history,v2_autoregressive_sentiment_guide,distinct_3,6,v2_gpt2_medium_conditional,all,0.09524753366255995
32.0,32.0,32.0,v2_history,v2_autoregressive_sentiment_guide,generation_length,6,v2_gpt2_medium_conditional,all,0.0
