state_id,weight,top1_token_id_audit_only,top1_probability,entropy,top1_top2_margin,top1_differs_from_w1,w1_top_token_rank,w1_top_token_probability_change,top1_logprob_margin_change_vs_w1
f60_a4_p00_s04,1.0,1771,0.3806331753730774,2.7831804752349854,0.22922775149345398,0.0,0,3.814697265625e-06,0.0
f60_a0_p01_s00,0.0,13,0.5729671716690063,2.523899555206299,0.4989754259586334,1.0,1,-0.1730499491095543,0.8984373807907104
f60_a0_p01_s00,0.25,306,0.19762134552001953,4.277102470397949,0.060599297285079956,0.0,0,-0.04941442608833313,-0.7822266817092896
f60_a0_p01_s00,0.5,306,0.23875930905342102,4.3570685386657715,0.18651533126831055,0.0,0,-0.008275508880615234,0.37109363079071045
f60_a0_p01_s00,0.75,306,0.2481534779071808,4.2178850173950195,0.18278351426124573,0.0,0,0.0011134147644042969,0.185546875
f60_a0_p01_s00,1.0,306,0.2470417469739914,4.1011152267456055,0.16869693994522095,0.0,0,2.5331974029541016e-07,0.0
f60_a0_p01_s01,0.0,29941,0.7187455296516418,1.1239138841629028,0.5976890325546265,0.0,0,-0.03423100709915161,-0.32812488079071045
f60_a0_p01_s01,0.25,29941,0.731471836566925,1.0766935348510742,0.6179746985435486,0.0,0,-0.02150559425354004,-0.24609375
f60_a0_p01_s01,0.5,29941,0.7408121228218079,1.046233892440796,0.6349185705184937,0.0,0,-0.012165367603302002,-0.1640625
f60_a0_p01_s01,0.75,29941,0.747909426689148,1.0229988098144531,0.6494210958480835,0.0,0,-0.0050681233406066895,-0.0820310115814209
f60_a0_p01_s01,1.0,29941,0.7529774308204651,1.0055806636810303,0.6616308689117432,0.0,0,-5.960464477539063e-08,0.0
f60_a0_p01_s02,0.0,263,0.3986867666244507,3.1925342082977295,0.30249911546707153,0.0,0,0.0649336576461792,0.1015625
f60_a0_p01_s02,0.25,263,0.3871985971927643,3.290761709213257,0.2913803160190582,0.0,0,0.05344611406326294,0.076171875
