ci95_high,ci95_low,failed_generations,mean,method,metric,n,prompt_sentiment_class,std
31.65,30.455,0,31.09,fixed_beta_15,generation_length,200,negative,4.35452638067563
0.0,0.0,0,0.0,fixed_beta_15,eos_rate,200,negative,0.0
0.031734381184580746,0.0295081228469534,0,0.03064045666411625,fixed_beta_15,latency_per_token,200,negative,0.007859921592824549
0.9922127570363227,0.9110300539201126,0,0.9526321350823855,fixed_beta_15,total_latency,200,negative,0.27783504919543345
0.8,0.68,0,0.74,fixed_beta_30,target_sentiment_success,200,negative,0.4386342439892262
0.7991999950981699,0.6833476075599901,0,0.740205751429894,fixed_beta_30,independent_sentiment_score,200,negative,0.4222041322263283
0.8,0.68,0,0.74,fixed_beta_30,classifier_sentiment_success,200,negative,0.4386342439892262
0.7991999950981699,0.6833476075599901,0,0.740205751429894,fixed_beta_30,classifier_target_probability,200,negative,0.4222041322263283
0.215,0.115,0,0.165,fixed_beta_30,lexicon_sentiment_score,200,negative,0.3711805490593493
0.215,0.115,0,0.165,fixed_beta_30,lexicon_sentiment_success,200,negative,0.3711805490593493
11.287689154148103,9.49618704020977,0,10.32533757865429,fixed_beta_30,base_lm_perplexity,200,negative,6.237856599732942
0.3218993928990242,0.3036957546551997,0,0.3124043613494798,fixed_beta_30,fluency,200,negative,0.06196763840465608
0.5300905099436711,0.4989166977020102,0,0.5155344631782284,fixed_beta_30,coherence,200,negative,0.11126634695833247
0.2504849650800929,0.2074567332443383,0,0.227461666111367,fixed_beta_30,repeated_unigram_rate,200,negative,0.15486661568861684
0.11750005459962333,0.07638232394822221,0,0.09494369557873128,fixed_beta_30,repeated_bigram_rate,200,negative,0.1407821562469156
0.0772628876357137,0.04069835549951741,0,0.05703871047950879,fixed_beta_30,repeated_trigram_rate,200,negative,0.12909500643930752
0.7729619433204838,0.7194121276485632,0,0.7475383338886324,fixed_beta_30,distinct_1,200,negative,0.19231636786627754
0.8985069862805075,0.8389043955162236,0,0.8700563044212686,fixed_beta_30,distinct_2,200,negative,0.21667615657247516
0.9329842403972838,0.8707035653557392,0,0.9029612895204916,fixed_beta_30,distinct_3,200,negative,0.22472744347142862
31.115,29.64,0,30.42,fixed_beta_30,generation_length,200,negative,5.3201127807594455
0.0,0.0,0,0.0,fixed_beta_30,eos_rate,200,negative,0.0
0.03193405229372671,0.02965585132526865,0,0.030810524260905737,fixed_beta_30,latency_per_token,200,negative,0.007941069365829017
0.9786171461158665,0.8958099548175232,0,0.9364964987663552,fixed_beta_30,total_latency,200,negative,0.2940947496520936
0.53,0.395,0,0.465,fixed_beta_5,target_sentiment_success,200,negative,0.4987734956871706
0.5293843413697323,0.39761001114413375,0,0.46619476168852997,fixed_beta_5,independent_sentiment_score,200,negative,0.4864558238240368
0.53,0.395,0,0.465,fixed_beta_5,classifier_sentiment_success,200,negative,0.4987734956871706
0.5293843413697323,0.39761001114413375,0,0.46619476168852997,fixed_beta_5,classifier_target_probability,200,negative,0.4864558238240368
0.085,0.02,0,0.05,fixed_beta_5,lexicon_sentiment_score,200,negative,0.23979157616563598
0.09,0.025,0,0.055,fixed_beta_5,lexicon_sentiment_success,200,negative,0.22798026230355994
7.892761458158493,6.424566732645035,0,7.071466500163078,fixed_beta_5,base_lm_perplexity,200,negative,5.173381075462321
0.352273011144921,0.3349405753726821,0,0.3433826049297896,fixed_beta_5,fluency,200,negative,0.05945720617732388
0.5564308255244031,0.5298088788531576,0,0.5434910112094424,fixed_beta_5,coherence,200,negative,0.09731415426220319
0.29884102757644876,0.2532967678077862,0,0.27628230118962527,fixed_beta_5,repeated_unigram_rate,200,negative,0.16482646555931257
0.15241487546207175,0.1059250774020848,0,0.12835341387531196,fixed_beta_5,repeated_bigram_rate,200,negative,0.16571722280927223
0.10617509243659126,0.06457559719389593,0,0.08424990244272969,fixed_beta_5,repeated_trigram_rate,200,negative,0.15154723378226914
0.7372245333479488,0.6888235492225477,0,0.7137176988103744,fixed_beta_5,distinct_1,200,negative,0.17760100710576715
0.8823106092170289,0.8308235410729151,0,0.8566465861246881,fixed_beta_5,distinct_2,200,negative,0.19592497421043242
0.9235906786771418,0.8744397433442052,0,0.9007500975572701,fixed_beta_5,distinct_3,200,negative,0.1876541153126567
31.735,30.595,0,31.185,fixed_beta_5,generation_length,200,negative,4.107404898473001
0.0,0.0,0,0.0,fixed_beta_5,eos_rate,200,negative,0.0
0.030616547737260715,0.028468400617115256,0,0.029575354771086828,fixed_beta_5,latency_per_token,200,negative,0.007832570032196272
0.9581051300675608,0.8831446539587341,0,0.9216789887205232,fixed_beta_5,total_latency,200,negative,0.2740295552705597
0.705,0.57,0,0.64,fixed_beta_0,target_sentiment_success,200,neutral,0.48
0.7014704055312905,0.5696265996800502,0,0.6356130776862847,fixed_beta_0,independent_sentiment_score,200,neutral,0.4693735456227883
0.705,0.57,0,0.64,fixed_beta_0,classifier_sentiment_success,200,neutral,0.48
0.7014704055312905,0.5696265996800502,0,0.6356130776862847,fixed_beta_0,classifier_target_probability,200,neutral,0.4693735456227883
