fusion,lambda,alpha,sample_id,n,mean_gradient,median_gradient,fraction_positive
normalized,1.5,ALL,pku_round0_00115,5,0.22612534165382386,0.2271118462085724,1.0
normalized,2.0,ALL,pku_round0_00115,5,0.16084304451942444,0.16143301129341125,1.0
normalized,4.0,ALL,pku_round0_00115,5,0.06088623702526093,0.06100848317146301,1.0
normalized,8.0,ALL,pku_round0_00115,5,0.019497448205947877,0.019505783915519714,1.0
normalized,16.0,ALL,pku_round0_00115,5,0.00559530109167099,0.005591556429862976,1.0
current,0.0,ALL,pku_round0_00123,5,1.6325930595397948,1.6538325548171997,1.0
current,0.001,ALL,pku_round0_00123,5,1.6411056756973266,1.6612634658813477,1.0
current,0.01,ALL,pku_round0_00123,5,1.703240442276001,1.7164653539657593,1.0
current,0.05,ALL,pku_round0_00123,5,1.8368857622146606,1.8440067768096924,1.0
current,0.1,ALL,pku_round0_00123,5,1.9174825191497802,1.9260852336883545,1.0
current,0.25,ALL,pku_round0_00123,5,2.061808204650879,2.074740409851074,1.0
current,0.5,ALL,pku_round0_00123,5,2.208339786529541,2.2187557220458984,1.0
current,0.75,ALL,pku_round0_00123,5,2.3037384510040284,2.3073651790618896,1.0
current,1.0,ALL,pku_round0_00123,5,2.372727298736572,2.3689353466033936,1.0
current,1.5,ALL,pku_round0_00123,5,2.4640009880065916,2.4569458961486816,1.0
current,2.0,ALL,pku_round0_00123,5,2.5135029792785644,2.5012388229370117,1.0
current,4.0,ALL,pku_round0_00123,5,2.5868154525756837,2.570535182952881,1.0
current,8.0,ALL,pku_round0_00123,5,2.6118199825286865,2.5898780822753906,1.0
current,16.0,ALL,pku_round0_00123,5,2.6163541316986083,2.5929625034332275,1.0
normalized,0.0,ALL,pku_round0_00123,5,0.9938428640365601,1.0150823593139648,1.0
normalized,0.001,ALL,pku_round0_00123,5,0.9982667326927185,1.018582820892334,1.0
normalized,0.01,ALL,pku_round0_00123,5,1.0252599954605102,1.0397582054138184,1.0
normalized,0.05,ALL,pku_round0_00123,5,1.0268396973609923,1.0374252796173096,1.0
normalized,0.1,ALL,pku_round0_00123,5,0.970959460735321,0.9848276376724243,1.0
normalized,0.25,ALL,pku_round0_00123,5,0.8002211093902588,0.8161137104034424,1.0
normalized,0.5,ALL,pku_round0_00123,5,0.596059238910675,0.6015024185180664,1.0
normalized,0.75,ALL,pku_round0_00123,5,0.46155176162719724,0.461286723613739,1.0
normalized,1.0,ALL,pku_round0_00123,5,0.3683647394180298,0.3651641607284546,1.0
normalized,1.5,ALL,pku_round0_00123,5,0.25069016218185425,0.24561578035354614,1.0
normalized,2.0,ALL,pku_round0_00123,5,0.1818050980567932,0.17680633068084717,1.0
normalized,4.0,ALL,pku_round0_00123,5,0.07198165655136109,0.06911194324493408,1.0
normalized,8.0,ALL,pku_round0_00123,5,0.023889565467834474,0.022798612713813782,1.0
normalized,16.0,ALL,pku_round0_00123,5,0.007020531594753266,0.0066862329840660095,1.0
current,0.0,ALL,pku_round0_00126,5,-0.008664485812187196,0.002157926559448242,0.6
current,0.001,ALL,pku_round0_00126,5,-0.001197481155395508,0.008287280797958374,0.6
current,0.01,ALL,pku_round0_00126,5,0.05815382599830628,0.058653414249420166,1.0
current,0.05,ALL,pku_round0_00126,5,0.22849532067775727,0.23103632032871246,1.0
current,0.1,ALL,pku_round0_00126,5,0.3594951033592224,0.3615255355834961,1.0
current,0.25,ALL,pku_round0_00126,5,0.5980827569961548,0.5980792045593262,1.0
current,0.5,ALL,pku_round0_00126,5,0.814015007019043,0.8105989098548889,1.0
current,0.75,ALL,pku_round0_00126,5,0.9354950904846191,0.9319391250610352,1.0
current,1.0,ALL,pku_round0_00126,5,1.0112895488739013,1.0094853639602661,1.0
current,1.5,ALL,pku_round0_00126,5,1.0982451915740967,1.0995802879333496,1.0
current,2.0,ALL,pku_round0_00126,5,1.1450016975402832,1.1431164741516113,1.0
current,4.0,ALL,pku_round0_00126,5,1.2120639085769653,1.2129921913146973,1.0
current,8.0,ALL,pku_round0_00126,5,1.2372065305709838,1.237727165222168,1.0
current,16.0,ALL,pku_round0_00126,5,1.244457197189331,1.2424472570419312,1.0
normalized,0.0,ALL,pku_round0_00126,5,-0.2651530683040619,-0.25433066487312317,0.0
normalized,0.001,ALL,pku_round0_00126,5,-0.25953513383865356,-0.2503500282764435,0.0
normalized,0.01,ALL,pku_round0_00126,5,-0.21735428273677826,-0.21568720042705536,0.0
normalized,0.05,ALL,pku_round0_00126,5,-0.12308036386966706,-0.11601494252681732,0.0
normalized,0.1,ALL,pku_round0_00126,5,-0.07400836944580078,-0.06766380369663239,0.0
normalized,0.25,ALL,pku_round0_00126,5,-0.012504705786705017,-0.010365352034568787,0.2
normalized,0.5,ALL,pku_round0_00126,5,0.022192157804965973,0.022010982036590576,1.0
normalized,0.75,ALL,pku_round0_00126,5,0.03178657442331314,0.030621632933616638,1.0
normalized,1.0,ALL,pku_round0_00126,5,0.0331479549407959,0.03159224987030029,1.0
normalized,1.5,ALL,pku_round0_00126,5,0.02911955416202545,0.027485795319080353,1.0
normalized,2.0,ALL,pku_round0_00126,5,0.02391861528158188,0.022472478449344635,1.0
normalized,4.0,ALL,pku_round0_00126,5,0.011354371905326843,0.010592188686132431,1.0
normalized,8.0,ALL,pku_round0_00126,5,0.004101886972784996,0.0039027929306030273,1.0
normalized,16.0,ALL,pku_round0_00126,5,0.0012531714513897897,0.0012040939182043076,1.0
