ci95_high,ci95_low,failed_generations,mean,method,metric,n,prompt_sentiment_class,std
0.915061597209743,0.8505707149945995,0,0.8852314830796574,heuristic_linear_decrease,distinct_3,200,negative,0.24001599782300734
31.38,29.965,0,30.725,heuristic_linear_decrease,generation_length,200,negative,5.269665549159643
0.0,0.0,0,0.0,heuristic_linear_decrease,eos_rate,200,negative,0.0
0.03251119321052265,0.03019216277576857,0,0.03137088028405633,heuristic_linear_decrease,latency_per_token,200,negative,0.008180524546411345
1.0017537153878948,0.9211923718353501,0,0.9614666253351607,heuristic_linear_decrease,total_latency,200,negative,0.2984669790540052
0.665,0.53,0,0.6,heuristic_linear_increase,target_sentiment_success,200,negative,0.4898979485566356
0.6629634436033666,0.5295558235776844,0,0.5993180528149241,heuristic_linear_increase,independent_sentiment_score,200,negative,0.47741710940680904
0.665,0.53,0,0.6,heuristic_linear_increase,classifier_sentiment_success,200,negative,0.4898979485566356
0.6629634436033666,0.5295558235776844,0,0.5993180528149241,heuristic_linear_increase,classifier_target_probability,200,negative,0.47741710940680904
0.16,0.065,0,0.11,heuristic_linear_increase,lexicon_sentiment_score,200,negative,0.3433656942677879
0.165,0.08,0,0.12,heuristic_linear_increase,lexicon_sentiment_success,200,negative,0.32496153618543844
8.517935126423836,7.257706246972084,0,7.872693231105805,heuristic_linear_increase,base_lm_perplexity,200,negative,4.096813369894675
0.3424400268585249,0.3239646414406991,0,0.3332135231557729,heuristic_linear_increase,fluency,200,negative,0.062020410982152246
0.5536261838080969,0.5268912399113765,0,0.5409387695180113,heuristic_linear_increase,coherence,200,negative,0.09575963122016544
0.26715984802495685,0.22343670759210646,0,0.24425881579292233,heuristic_linear_increase,repeated_unigram_rate,200,negative,0.14844310399764865
0.11280016226755356,0.07048704436936463,0,0.09116350483814366,heuristic_linear_increase,repeated_bigram_rate,200,negative,0.14126141774981724
0.07444168090152067,0.03636521144581378,0,0.05417210379018147,heuristic_linear_increase,repeated_trigram_rate,200,negative,0.12791039632767207
0.7693153582344269,0.7202718772339929,0,0.745741184207077,heuristic_linear_increase,distinct_1,200,negative,0.16446938562722935
0.9176318978835237,0.8668676430655416,0,0.8938364951618563,heuristic_linear_increase,distinct_2,200,negative,0.17887113517709913
0.9526401641281703,0.9052398843387879,0,0.9308278962098187,heuristic_linear_increase,distinct_3,200,negative,0.17178738712430752
31.685,30.535,0,31.125,heuristic_linear_increase,generation_length,200,negative,4.182030009457129
0.0,0.0,0,0.0,heuristic_linear_increase,eos_rate,200,negative,0.0
0.032536676403395776,0.030232317433528517,0,0.03137364768390463,heuristic_linear_increase,latency_per_token,200,negative,0.008073930045666991
1.0207751181413187,0.9403566695301561,0,0.9792438554594992,heuristic_linear_increase,total_latency,200,negative,0.2861821181336054
0.615,0.48,0,0.55,heuristic_reward_range_beta,target_sentiment_success,200,negative,0.49749371855331
0.6099221970353392,0.47711104647489266,0,0.5470745382626774,heuristic_reward_range_beta,independent_sentiment_score,200,negative,0.48561846298251043
0.615,0.48,0,0.55,heuristic_reward_range_beta,classifier_sentiment_success,200,negative,0.49749371855331
0.6099221970353392,0.47711104647489266,0,0.5470745382626774,heuristic_reward_range_beta,classifier_target_probability,200,negative,0.48561846298251043
0.13,0.045,0,0.085,heuristic_reward_range_beta,lexicon_sentiment_score,200,negative,0.296268459340511
0.13,0.05,0,0.09,heuristic_reward_range_beta,lexicon_sentiment_success,200,negative,0.2861817604250837
7.90316821038723,6.826616094112397,0,7.334853152036667,heuristic_reward_range_beta,base_lm_perplexity,200,negative,3.7091226768172163
0.3474434304427203,0.33032941775767133,0,0.338496360044334,heuristic_reward_range_beta,fluency,200,negative,0.05969883902329673
