fusion,lambda,alpha,num_cases,mean_nll,mean_gradient,median_gradient,fraction_positive_gradient,mean_entropy,mean_max_probability,mean_logit_std
current,0.0,"1.00,0.00",4,1.718851387500763,0.7312843389809132,0.6746522337198257,0.75,1.2746167182922363,0.6803999990224838,2.39657723903656
current,0.001,"0.00,1.00",4,1.7440294921398163,1.2082722298800945,1.2912268042564392,0.75,1.2973136901855469,0.676790714263916,2.407756268978119
current,0.001,"0.25,0.75",4,1.7379420101642609,1.114269707351923,1.3464980125427246,0.75,1.291072517633438,0.6777798980474472,2.4054356813430786
current,0.001,"0.50,0.50",4,1.731828659772873,0.9943797588348389,1.2058143615722656,0.75,1.2848218977451324,0.6787697076797485,2.403113007545471
current,0.001,"0.75,0.25",4,1.7257065176963806,0.8657833877950907,0.9373933970928192,0.75,1.2785778939723969,0.6797592490911484,2.400786578655243
current,0.001,"1.00,0.00",4,1.7195869386196136,0.7398147936910391,0.6851911842823029,0.75,1.272326946258545,0.6807527989149094,2.3984514474868774
current,0.01,"0.00,1.00",4,1.7553364634513855,1.298869101330638,1.3854666352272034,0.75,1.276382565498352,0.6802208572626114,2.4230526089668274
current,0.01,"0.25,0.75",4,1.7483744621276855,1.1990947928279638,1.4393600225448608,0.75,1.270378440618515,0.6811307668685913,2.4211817383766174
current,0.01,"0.50,0.50",4,1.7411493062973022,1.0725070964545012,1.3005370497703552,0.75,1.264293134212494,0.6820488423109055,2.419292628765106
current,0.01,"0.75,0.25",4,1.7338343858718872,0.9366348907351494,1.0241710543632507,0.75,1.258270502090454,0.6829648911952972,2.417365849018097
current,0.01,"1.00,0.00",4,1.7265530824661255,0.8049494056031108,0.7646150439977646,0.75,1.2521726489067078,0.683919295668602,2.41535085439682
current,0.1,"0.00,1.00",4,1.8899349570274353,1.6157911717891693,1.719527006149292,1.0,1.1079648584127426,0.7089560031890869,2.579232394695282
current,0.1,"0.25,0.75",4,1.873394936323166,1.5069378018379211,1.7691388130187988,1.0,1.1032149940729141,0.7093405872583389,2.581776201725006
current,0.1,"0.50,0.50",4,1.8540763556957245,1.3700986206531525,1.629908263683319,1.0,1.0981828421354294,0.7098176032304764,2.5841346979141235
current,0.1,"0.75,0.25",4,1.8337279260158539,1.2232051640748978,1.3409298658370972,1.0,1.0935628414154053,0.7103604823350906,2.586126148700714
current,0.1,"1.00,0.00",4,1.8139704465866089,1.083092361688614,1.0708089917898178,1.0,1.088214933872223,0.7112664580345154,2.58726042509079
current,0.25,"0.00,1.00",4,2.149442434310913,1.823179304599762,1.9332451224327087,1.0,0.9167638719081879,0.7458303719758987,2.850753962993622
current,0.25,"0.25,0.75",4,2.1161603331565857,1.708806037902832,1.9773208498954773,1.0,0.9145070016384125,0.7455137670040131,2.8603426814079285
current,0.25,"0.50,0.50",4,2.075936734676361,1.5670581012964249,1.8397331237792969,1.0,0.91184963285923,0.7452231347560883,2.869465410709381
current,0.25,"0.75,0.25",4,2.0334680378437042,1.4189328849315643,1.5469170808792114,1.0,0.9089723229408264,0.7452967911958694,2.877701997756958
current,0.25,"1.00,0.00",4,1.9928215742111206,1.2803159281611443,1.2736938893795013,1.0,0.9043322652578354,0.7462800294160843,2.8838873505592346
current,0.5,"0.00,1.00",4,2.6310655176639557,2.00956329703331,2.1274157762527466,1.0,0.7118227332830429,0.7922088652849197,3.326625883579254
current,0.5,"0.25,0.75",4,2.5680980682373047,1.8867638260126114,2.1637388467788696,1.0,0.7136829793453217,0.7902754843235016,3.3472265005111694
current,0.5,"0.50,0.50",4,2.4917668998241425,1.7403055727481842,2.0233458280563354,1.0,0.714957982301712,0.7880293726921082,3.366895020008087
current,0.5,"0.75,0.25",4,2.4121229350566864,1.591309204697609,1.7296640276908875,1.0,0.7138251662254333,0.788174569606781,3.3848766088485718
current,0.5,"1.00,0.00",4,2.336901932954788,1.4531727731227875,1.451712280511856,1.0,0.7104550004005432,0.7889704406261444,3.399004101753235
current,1.0,"0.00,1.00",4,3.684844493865967,2.179126098752022,2.311011791229248,1.0,0.48449281603097916,0.8497385531663895,4.331517219543457
current,1.0,"0.25,0.75",4,3.557669758796692,2.0466467142105103,2.339733839035034,1.0,0.49248791486024857,0.8451441377401352,4.372111916542053
current,1.0,"0.50,0.50",4,3.4070560932159424,1.8966615498065948,2.190335273742676,1.0,0.49894118309020996,0.8411413133144379,4.410845756530762
current,1.0,"0.75,0.25",4,3.2524646520614624,1.745417281985283,1.8935271501541138,1.0,0.5009191408753395,0.839041605591774,4.446415066719055
current,1.0,"1.00,0.00",4,3.1089614033699036,1.6125756055116653,1.6085388958454132,1.0,0.5005932301282883,0.8376656770706177,4.475055456161499
current,2.0,"0.00,1.00",4,5.9313050508499146,2.289563775062561,2.4336382150650024,1.0,0.2899598777294159,0.9062939137220383,6.435993671417236
current,2.0,"0.25,0.75",4,5.669396996498108,2.1547427475452423,2.463536500930786,1.0,0.30182695388793945,0.8987917006015778,6.512078762054443
